,,Dec-01,Dec-01,Dec-02,Dec-02,Dec-03,Dec-03,Dec-04,Dec-04,Dec-05,Dec-05,Dec-06,Dec-06,Dec-07,Dec-07,Dec-08,Dec-08,Dec-09,Dec-09,Dec-10,Dec-10,Dec-11,Dec-11,Dec-12,Dec-12,Dec-13,Dec-13,Dec-14,Dec-14,Dec-15,Dec-15,Dec-16,Dec-16,Dec-17,Dec-17,Dec-18,Dec-18,Dec-19,Dec-19,Dec-20,Dec-20,Dec-21,Dec-21,Dec-22,Dec-22,Dec-23,Dec-23,Dec-24,Dec-24,Dec-25,Dec-25,Dec-26,Dec-26,Dec-27,Dec-27,Dec-28,Dec-28,Dec-29,Dec-29,Dec-30,Dec-30,Dec-31,Dec-31
Product ID,Brand,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units
ITEM5498,Lemon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITEM1945,Lemon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITEM5204,Lemon,877,3,767,3,1196,4,837,3,877,3,957,3,1156,4,1196,4,3348,12,279,1,558,2,837,3,2073,7,558,2,1714,6,1395,5,1116,4,279,1,279,1,279,1,1668,8,185,1,764,4,804,4,613,3,1560,8,925,5,1110,6,1375,7,1190,6,764,4
ITEM2513,Apple,10148,12,5228,6,6806,8,8548,10,15358,18,14441,17,10126,12,16087,19,5118,6,10969,13,14400,17,12823,15,10199,12,16253,19,9447,11,10291,12,8548,10,7815,9,10166,12,10996,13,12606,15,11059,13,7573,9,9307,11,9053,11,12958,19,13147,19,19374,28,13147,19,11071,16,7573,9
ITEM3731,Apple,10472,17,6776,11,7629,12,7392,12,8394,16,6120,10,11767,23,8697,17,17394,34,9209,18,9720,19,14730,29,7181,14,12600,25,11592,23,12883,31,11152,31,10072,28,13310,37,10792,30,11871,33,12950,36,17986,50,15109,42,14749,41,15828,44,19785,55,14749,41,14749,41,14389,40,17986,50
ITEM3632,Lemon,0,0,632,2,0,0,0,0,316,1,632,2,672,2,632,2,316,1,1304,4,316,1,672,2,632,2,712,2,1620,5,672,2,316,1,2252,7,632,2,0,0,672,2,948,3,0,0,0,0,0,0,1896,6,316,1,672,2,316,1,1304,4,0,0
ITEM7636,Orange,0,0,0,0,0,0,538,2,0,0,0,0,309,1,0,0,0,0,0,0,269,1,0,0,269,1,0,0,0,0,0,0,0,0,0,0,1216,4,0,0,309,1,0,0,269,1,269,1,0,0,0,0,269,1,0,0,0,0,-267,-1,269,1
ITEM8061,Lemon,0,0,244,1,488,2,244,1,0,0,488,2,244,1,0,0,812,3,772,3,0,0,488,2,0,0,0,0,244,1,0,0,0,0,0,0,244,1,244,1,732,3,0,0,0,0,0,0,0,0,732,3,732,3,732,3,732,3,0,0,0,0
ITEM9891,Mango,2716,4,3395,5,2037,3,2037,3,2037,3,4753,7,4074,6,4074,6,1358,2,2037,3,2716,4,3395,5,2007,3,4543,7,7788,12,3245,5,5841,9,2596,4,5192,8,5192,8,3894,6,6490,10,9735,15,12331,19,5192,8,9086,14,5192,8,8985,15,11381,19,7787,13,9735,15
ITEM4894,Lemon,487,3,1163,7,1083,7,487,3,716,4,447,3,984,6,785,5,865,5,636,4,596,4,1014,6,447,3,487,3,447,3,905,5,865,5,189,1,785,5,338,2,1075,5,1314,6,1632,8,1075,5,2349,11,677,3,1234,6,1632,8,1115,5,1075,5,1632,8
